Altium Designer Pick and Place Locations
C:\Users\Andrea\Documents\Progetti Elettronica\2025\DC_CDI_Honda_CX500\Progetto\DC_CDI_Honda_CX500_rev2.2\Project Outputs for DC_CDI_Honda_CX500_rev2.2\Pick Place for dc_cdi_cx500.csv

========================================================================================================================
File Design Information:

Date:       10/09/26
Time:       22:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"R68","22.7509","-37.4451","TopLayer","270"
"R60","23.2099","-28.7576","BottomLayer","180"
"R59","19.8566","-35.3009","TopLayer","180"
"R46","-20.5792","-29.5251","TopLayer","0"
"C48","20.5102","-37.5089","TopLayer","180"
"C47","20.7997","-38.8927","TopLayer","180"
"C43","27.4700","-30.7330","TopLayer","90"
"C41","-30.7457","-29.7326","TopLayer","270"
"C40","-24.1075","-36.1756","TopLayer","180"
"C39","-27.0459","-33.6787","TopLayer","0"
"R56","-25.7390","-30.2004","TopLayer","90"
"R55","-28.6590","-29.0241","TopLayer","180"
"C46","25.6353","-37.5009","TopLayer","90"
"C45","28.5648","-32.6931","TopLayer","180"
"C42","-28.6960","-30.4683","TopLayer","180"
"R8","19.4310","-16.2560","BottomLayer","0"
"R7","-22.3520","-23.8760","BottomLayer","180"
"C5","17.3990","4.6990","TopLayer","270"
"C4","16.1290","4.6990","TopLayer","270"
"C3","-17.0117","7.7693","TopLayer","90"
"C2","-18.4087","7.7693","TopLayer","90"
"R3","-20.3200","3.0480","TopLayer","0"
"R2","-20.3200","4.5720","TopLayer","0"
"R1","14.7320","4.6990","TopLayer","90"
"R6","19.8120","9.1440","TopLayer","180"
"R5","19.8120","7.6200","TopLayer","180"
"R4","-19.8120","7.7470","TopLayer","270"
"R33","16.3830","39.3700","BottomLayer","0"
"R34","4.6990","36.9570","BottomLayer","0"
"C12","-2.1590","8.1280","BottomLayer","270"
"C10","-0.6350","8.1280","BottomLayer","270"
"R31","32.1950","-2.7682","BottomLayer","90"
"C53","1.0160","-12.0650","TopLayer","90"
"C52","2.4040","-12.1107","TopLayer","90"
"R47","-17.1290","-25.1482","BottomLayer","180"
"R32","18.0340","34.4170","BottomLayer","0"
"C37","-24.0769","-34.7673","TopLayer","0"
"R43","11.7037","-3.1264","BottomLayer","90"
"R42","-9.6397","-3.9067","BottomLayer","90"
"R41","-0.0056","1.7032","BottomLayer","180"
"R38","-11.4130","-1.6718","BottomLayer","180"
"R37","4.0907","-10.1397","BottomLayer","90"
"R36","-12.0307","-2.8206","BottomLayer","180"
"R35","5.6615","-9.4592","BottomLayer","180"
"C34","-2.9666","-9.6862","BottomLayer","0"
"C33","3.3955","0.6545","BottomLayer","180"
"C32","3.3932","-0.2931","BottomLayer","180"
"C31","6.9357","-6.0209","BottomLayer","90"
"C30","5.9019","-6.0256","BottomLayer","90"
"C29","10.5225","-3.1636","BottomLayer","90"
"C28","-8.6021","-3.9396","BottomLayer","90"
"C27","-5.5858","-2.2687","BottomLayer","270"
"C26","-4.6285","-2.2792","BottomLayer","270"
"C25","4.9230","-2.3363","BottomLayer","0"
"C24","-2.9666","-10.6143","BottomLayer","0"
"C22","3.0833","-10.1434","BottomLayer","90"
"R14","2.9210","16.6370","BottomLayer","180"
"R12","1.6510","19.0500","BottomLayer","180"
"R16","-8.6487","-0.6643","BottomLayer","180"
"R15","7.4798","2.6837","BottomLayer","90"
"R30","-2.9210","19.5580","BottomLayer","90"
"R29","-4.8260","12.5730","BottomLayer","270"
"R28","-3.3020","8.1280","BottomLayer","270"
"R27","0.5080","8.5090","BottomLayer","270"
"R26","-3.8100","14.4780","BottomLayer","90"
"R25","-3.4290","18.0340","BottomLayer","0"
"R24","-3.5560","10.1600","BottomLayer","90"
"R23","1.0160","9.9060","BottomLayer","0"
"R22","2.7940","15.1130","BottomLayer","90"
"R21","-0.1270","18.5420","BottomLayer","90"
"R20","-5.3340","9.1440","BottomLayer","90"
"C15","-4.4450","17.0180","BottomLayer","180"
"C14","-3.8100","12.5730","BottomLayer","270"
"C13","-4.3180","8.1280","BottomLayer","270"
"C11","3.3020","13.7160","BottomLayer","0"
"C9","1.6510","20.0660","BottomLayer","180"
"R19","-1.5159","18.0278","BottomLayer","180"
"R17","-10.4740","0.0989","TopLayer","0"
"R13","6.1722","4.0974","TopLayer","0"
"C7","3.8100","15.1130","BottomLayer","270"
"R10","17.9748","-14.9570","BottomLayer","180"
"R9","-20.6284","-21.6740","BottomLayer","180"
"R18","1.6510","18.0340","BottomLayer","180"
"R11","3.4290","18.0340","BottomLayer","90"
"C8","2.6670","10.7950","BottomLayer","270"
